fips,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transport_warehouse_utilities,information,finance_insurance_realestate,prof_scientific_waste,edu_health,arts_recreation,public_admin,other,year
6091,13674,32051,32054,52188,7250,38750,NA,43108,32431,40300,NA,46771,22738,2010
6093,26589,36420,31778,20972,19604,51031,50625,27571,31179,28922,7278,44225,21259,2010
6095,21784,44444,46370,41792,24378,53415,56148,46034,52490,39106,16731,63819,24860,2010
6097,24168,46373,43287,45147,25038,48981,53805,47621,53488,37141,25088,70810,23178,2010
6099,21392,37823,37252,40225,24518,43833,36282,33850,40506,34005,11571,52125,24067,2010
6101,16878,31505,33950,26951,21865,47628,45208,40250,47545,30584,20047,60205,19484,2010
6103,23020,30617,33742,24653,24395,47550,23393,30375,32282,27321,25114,46466,17316,2010
6105,30930,22217,32568,3938,20621,20625,18175,65256,19922,35130,15324,47940,11432,2010
6107,16862,33226,31515,26388,20333,37578,31782,34722,36943,30821,20716,52259,22218,2010
6109,33125,33940,46173,50153,24676,48660,22902,40650,46797,32322,22128,49632,13250,2010
6111,18842,39911,48458,41800,22471,50102,61018,50672,63850,37846,21745,70520,22826,2010
6113,22363,37614,41660,40521,20318,41039,36880,41443,54478,36257,21751,61041,28966,2010
6115,16214,37755,34000,31534,21367,43608,31667,28162,44897,26593,18510,53507,20338,2010
8001,23843,34761,37919,39997,24831,43882,50712,38794,51747,31792,16583,50433,24028,2010
8003,21810,31875,18889,25625,17612,37798,4190,36094,29653,31275,"2,500-",39583,17292,2010
8005,30733,32205,44706,46162,25905,40178,51542,47107,57947,34860,18831,54820,24305,2010
8007,32407,13659,21458,121071,10955,59464,28788,28750,42069,28147,3828,54091,"2,500-",2010
8009,30655,23958,17969,30417,22961,35769,38750,26500,26875,21111,16500,27750,15625,2010
8011,24659,28980,41382,NA,16875,34792,40536,28831,68456,27617,53500,32353,4688,2010
8013,16855,36952,64417,48594,21309,46237,55098,47364,65564,31437,14515,51557,23427,2010
8014,51771,44868,65156,52540,24430,52665,67543,51342,67376,36804,17008,57604,29607,2010
8015,21559,26076,33750,40148,22335,47023,20250,24671,24036,28963,7276,38750,15225,2010
8017,30875,30333,71250,51875,16250,42361,26705,18304,64500,31250,NA,58021,12321,2010
8019,"2,500-",33929,52059,46776,26815,48782,41429,50208,48569,40543,23750,39722,40938,2010
8021,20938,28988,20536,51667,18750,26719,7431,30197,38708,26500,25625,37813,21400,2010
8023,20385,12194,27594,NA,7396,62857,29792,"2,500-",12321,17969,20481,48500,18676,2010
8025,25223,17917,26667,4573,15905,22010,17850,33417,4400,27708,NA,26450,13125,2010
8027,26190,35536,52969,NA,21953,21182,19000,82386,12059,32778,7059,25000,41625,2010
8029,21642,27450,23531,25129,23989,34500,19271,31875,18789,22379,32887,39231,22684,2010
